,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
368,uray,60.1247,64.7758,61.5,39,100,8.14,RU,1624283484
369,mega,4.05,38.3,69.53,41,91,16.2,ET,1624283778
370,port hardy,50.6996,-127.4199,51.8,100,75,2.3,CA,1624283779
371,palafrugell,41.9174,3.1631,91.15,48,0,19.73,ES,1624283779
372,rawah,34.4816,41.9093,103.62,10,0,10.07,IQ,1624283780
373,yashalta,46.3395,42.2762,91.81,23,0,19.28,RU,1624283781
374,san patricio,28.017,-97.5169,86.88,77,2,17.63,US,1624283782
375,banda aceh,5.5577,95.3222,80.85,78,59,16.78,ID,1624283783
376,saldanha,-33.0117,17.9442,71.65,66,1,17.45,ZA,1624283783
377,nabire,-3.3667,135.4833,75.61,91,67,3.29,ID,1624283784
378,harwich,51.9419,1.2844,58.6,83,100,15.99,GB,1624283785
379,noyabrsk,63.1994,75.4507,52.39,52,99,12.55,RU,1624283786
380,beringovskiy,63.05,179.3167,43.45,77,93,10.4,RU,1624283786
381,salalah,17.0151,54.0924,81.57,83,81,10.67,OM,1624283788
382,bobo dioulasso,11.1771,-4.2979,90.05,51,40,6.91,BF,1624283789
383,san vicente,-26.6167,-54.1333,53.11,99,100,0.94,AR,1624283790
384,broken hill,-31.95,141.4333,49.71,66,8,8.05,AU,1624283790
385,sisimiut,66.9395,-53.6735,45.73,63,8,6.26,GL,1624283791
386,khandyga,62.6667,135.6,68.63,43,71,3.87,RU,1624283792
387,laguna,38.421,-121.4238,74.44,78,20,4.0,US,1624283792
388,sharan,54.8167,54.0,75.42,73,62,6.24,RU,1624283793
389,maragogi,-9.0122,-35.2225,81.0,73,17,12.03,BR,1624283584
390,yinchuan,38.4681,106.2731,82.26,20,0,6.87,CN,1624283794
391,dunmore east,52.1514,-6.9861,66.63,51,0,16.11,IE,1624283796
392,samana,19.2056,-69.3369,82.36,89,75,0.0,DO,1624283796
393,zhigansk,66.7697,123.3711,71.71,49,12,7.23,RU,1624283797
394,nadvoitsy,63.8667,34.3167,83.19,39,50,10.94,RU,1624283798
395,mago,53.2514,140.1822,54.68,66,98,5.19,RU,1624283798
396,plettenberg bay,-34.0527,23.3716,79.16,28,0,12.62,ZA,1624283800
397,pangnirtung,66.1451,-65.7125,42.8,70,75,4.61,CA,1624283800
398,gornyatskiy,48.2915,40.9575,91.71,38,72,14.79,RU,1624283801
399,roma,43.2128,-75.4557,82.94,95,100,6.02,US,1624283720
400,allapalli,19.4167,80.0667,88.34,47,100,1.43,IN,1624283802
401,san matias,-16.3667,-58.4,80.47,44,59,2.37,BO,1624283803
402,prado,-17.3411,-39.2208,82.29,54,3,4.23,BR,1624283786
403,qinggang,46.6833,126.0833,61.59,66,16,5.01,CN,1624283804
404,pangkalanbuun,-2.6833,111.6167,73.87,96,92,1.5,ID,1624283805
405,morondava,-20.2833,44.2833,77.76,61,5,10.47,MG,1624283806
406,berlevag,70.8578,29.0864,51.6,81,100,22.95,NO,1624283806
407,kedrovyy,56.1667,91.8167,54.01,78,12,3.51,RU,1624283807
408,moranbah,-22.0016,148.0466,55.9,61,0,8.55,AU,1624283808
409,nara,34.6851,135.8049,74.5,65,14,1.05,JP,1624283809
410,cockburn town,21.4612,-71.1419,80.58,82,91,20.54,TC,1624283810
411,saint-joseph,-21.3667,55.6167,68.38,71,86,14.74,RE,1624283811
412,krasnoborsk,61.5598,45.934,88.05,34,100,5.7,RU,1624283812
413,ilo,-17.6394,-71.3375,61.66,82,90,0.0,PE,1624283813
414,aizkraukle,56.6048,25.2553,89.89,38,8,8.99,LV,1624283813
415,hamilton,39.1834,-84.5333,82.6,80,81,1.01,US,1624283699
416,srednekolymsk,67.45,153.6833,58.89,49,50,7.92,RU,1624283814
417,guayaramerin,-10.8368,-65.3614,68.05,88,90,5.75,BO,1624283815
418,dongying,37.4564,118.4856,76.46,42,51,12.28,CN,1624283816
419,monze,-16.2833,27.4833,65.43,45,100,5.84,ZM,1624283817
420,bose,45.4612,8.0137,83.25,82,21,2.55,IT,1624283817
421,shalinskoye,55.7228,93.7594,47.79,86,7,6.49,RU,1624283818
422,orlik,52.5178,99.825,55.33,85,100,2.21,RU,1624283819
423,sistranda,63.7256,8.834,57.16,89,99,11.14,NO,1624283819
424,aberdeen,57.1437,-2.0981,59.54,52,94,17.27,GB,1624283720
425,san quintin,30.4833,-115.95,63.93,83,98,5.14,MX,1624283821
426,nanchang,28.6833,115.8833,70.74,88,24,2.8,CN,1624283822
427,esperance,-33.8667,121.9,49.84,70,100,23.24,AU,1624283823
428,tonk,26.1667,75.7833,98.33,30,93,5.57,IN,1624283824
429,tiruchchendur,8.4833,78.1167,87.85,62,93,5.23,IN,1624283825
430,puerto narino,-3.7703,-70.3831,73.35,78,55,2.3,CO,1624283826
431,ende,-8.8432,121.6623,77.02,89,80,4.81,ID,1624283827
432,arman,59.7,150.1667,48.72,78,100,1.99,RU,1624283827
433,zhezkazgan,47.8043,67.7144,67.37,32,1,23.2,KZ,1624283829
434,nanortalik,60.1432,-45.2371,43.07,87,100,10.07,GL,1624283829
435,lulea,65.5842,22.1547,62.67,88,75,6.91,SE,1624283830
436,puerto escondido,15.85,-97.0667,82.15,74,98,2.55,MX,1624283831
437,tigil,57.8,158.6667,44.44,87,100,3.62,RU,1624283832
438,shubarkuduk,49.1447,56.4872,85.08,24,0,13.76,KZ,1624283833
439,kajaani,64.2273,27.7285,86.05,42,0,16.11,FI,1624283835
440,wajima,37.4,136.9,66.79,86,64,7.2,JP,1624283836
441,mackay,-21.15,149.2,55.04,87,0,4.61,AU,1624283836
442,nishihara,26.1842,127.7558,78.85,97,75,3.44,JP,1624283837
443,huangchuan,32.1272,115.0394,73.72,58,85,6.35,CN,1624283838
444,aktau,43.65,51.2,90.18,27,0,1.32,KZ,1624283839
445,souillac,-20.5167,57.5167,71.98,60,40,16.11,MU,1624283839
446,toba,34.4833,136.85,71.1,78,6,1.01,JP,1624283840
447,naryan-mar,67.6713,53.087,54.5,62,100,0.65,RU,1624283841
448,ilebo,-4.3167,20.5833,94.8,25,100,2.75,CD,1624283841
449,comodoro rivadavia,-45.8667,-67.5,49.86,43,0,16.11,AR,1624283842
450,esso,55.9333,158.7,43.7,94,100,3.58,RU,1624283843
451,opuwo,-18.0607,13.84,78.39,18,0,9.8,NA,1624283844
452,panambi,-28.2925,-53.5017,57.11,78,51,6.04,BR,1624283567
453,cayenne,4.9333,-52.3333,86.09,74,75,4.0,GF,1624283845
454,marquette,46.5333,-87.6335,44.82,94,100,14.74,US,1624283846
455,tabou,4.423,-7.3528,82.13,70,59,9.62,CI,1624283846
456,luena,-11.7833,19.9167,75.38,46,20,6.91,AO,1624283847
457,umm lajj,25.0213,37.2685,88.03,52,88,15.03,SA,1624283848
458,angoram,-4.0625,144.0661,73.56,99,100,1.48,PG,1624283848
459,mapiripan,2.8892,-72.1256,75.51,87,70,4.43,CO,1624283849
460,wagar,16.1525,36.2032,98.42,29,98,11.65,SD,1624283850
461,almaznyy,48.0448,40.045,87.94,45,65,14.97,RU,1624283851
462,necochea,-38.5473,-58.7368,45.03,63,70,11.52,AR,1624283851
463,ishigaki,24.3448,124.1572,81.23,85,100,8.9,JP,1624283852
464,phan thiet,10.9333,108.1,79.99,83,18,7.2,VN,1624283574
465,sao gabriel da cachoeira,-0.1303,-67.0892,76.8,88,75,3.44,BR,1624283853
466,makakilo city,21.3469,-158.0858,73.69,90,33,9.24,US,1624283854
467,santiago,-33.4569,-70.6483,52.86,76,98,1.14,CL,1624283639
468,santo amaro da imperatriz,-27.6881,-48.7786,67.51,72,31,2.55,BR,1624283855
469,ambon,-3.6954,128.1814,79.39,83,58,6.51,ID,1624283856
470,puerto ayacucho,5.6639,-67.6236,80.02,81,42,4.36,VE,1624283857
471,bengkulu,-3.8004,102.2655,78.22,82,35,3.33,ID,1624283857
472,bay roberts,47.5999,-53.2648,62.06,87,26,8.01,CA,1624283859
473,tilichiki,60.4667,166.1,42.49,89,100,1.52,RU,1624283859
474,high rock,26.6208,-78.2833,82.42,77,100,12.82,BS,1624283860
475,mayo,38.8876,-76.5119,84.2,85,90,7.0,US,1624283861
476,lufilufi,-13.8745,-171.5986,73.18,70,55,17.47,WS,1624283861
477,iracoubo,5.4802,-53.2011,83.14,69,100,4.65,GF,1624283862
478,buala,-8.145,159.5921,78.98,81,36,4.16,SB,1624283863
479,hualmay,-11.0964,-77.6139,65.73,79,100,9.64,PE,1624283864
480,adrar,20.5022,-10.0711,102.76,9,18,7.45,MR,1624283864
481,terrace,54.5163,-128.6035,55.31,87,40,0.0,CA,1624283865
482,mishkino,55.3389,63.9175,62.56,56,22,9.53,RU,1624283866
483,sulangan,11.1373,123.7228,84.74,71,100,7.18,PH,1624283867
484,boffa,10.1667,-14.0333,84.27,69,98,9.62,GN,1624283867
485,totness,5.8833,-56.3167,80.24,83,61,6.62,SR,1624283868
486,caravelas,-17.7125,-39.2481,83.8,50,0,1.74,BR,1624283869
487,say,13.1007,2.3689,77.56,35,95,10.36,NE,1624283870
488,maues,-3.3836,-57.7186,86.67,58,13,3.87,BR,1624283871
489,anori,-3.7728,-61.6442,84.61,66,30,1.68,BR,1624283872
490,mafinga,-7.25,35.0667,81.73,27,22,7.2,TZ,1624283873
491,muisne,0.6,-80.0333,77.11,86,100,7.29,EC,1624283874
492,senanga,-16.1167,23.2667,77.36,20,7,8.03,ZM,1624283875
493,erenhot,43.6475,111.9767,74.19,28,99,9.1,CN,1624283875
494,kulevcha,46.0303,29.9361,80.82,53,73,6.87,UA,1624283876
495,petropavlovsk-kamchatskiy,53.0452,158.6483,45.19,93,75,4.47,RU,1624283877
496,filadelfia,39.9523,-75.1638,81.48,84,90,4.0,US,1624283735
497,muli,2.9167,73.5667,83.37,74,34,13.13,MV,1624283878
498,pahrump,36.2083,-115.9839,86.68,17,0,1.01,US,1624283879
499,manaus,-3.1019,-60.025,84.7,83,75,1.14,BR,1624283629
500,borogontsy,62.6683,131.1683,68.95,51,38,3.6,RU,1624283880
501,atasu,48.6814,71.6433,54.27,58,82,19.17,KZ,1624283881
502,matay,28.419,30.7792,99.88,14,0,13.0,EG,1624283881
503,kulhudhuffushi,6.6221,73.07,81.81,80,30,15.88,MV,1624283882
504,sur,22.5667,59.5289,92.73,53,0,1.34,OM,1624283883
505,sao benedito do rio preto,-3.3336,-43.5283,88.05,48,54,5.21,BR,1624283884
506,deputatskiy,69.3,139.9,53.91,54,3,7.4,RU,1624283884
507,breves,-1.6822,-50.4803,84.38,64,77,3.71,BR,1624283886
508,kristiansund,63.1115,7.732,57.25,82,75,12.66,NO,1624283886
509,elesbao veloso,-6.2019,-42.1403,91.45,37,6,6.04,BR,1624283887
510,osoyoos,49.0331,-119.4524,64.54,88,100,0.0,CA,1624283728
511,tocopilla,-22.092,-70.1979,65.66,63,97,10.0,CL,1624283888
512,kardailovo,51.5386,53.9042,84.09,36,0,6.62,RU,1624283889
513,iralaya,15.0,-83.2333,82.49,83,74,11.63,HN,1624283890
514,posse,-14.0931,-46.3694,83.21,30,4,9.01,BR,1624283890
515,nea artaki,38.5167,23.6333,93.0,43,1,2.1,GR,1624283891
516,half moon bay,37.4636,-122.4286,60.82,85,90,1.99,US,1624283893
517,royal palm beach,26.7084,-80.2306,86.02,90,100,1.01,US,1624283893
518,port blair,11.6667,92.75,82.96,79,97,14.76,IN,1624283886
519,piney green,34.716,-77.3202,79.11,92,98,12.5,US,1624283895
520,lorengau,-2.0226,147.2712,81.18,79,28,7.49,PG,1624283896
521,pochutla,15.7432,-96.4661,79.83,77,99,1.88,MX,1624283897
522,bara,10.3744,10.7288,91.18,46,95,12.15,NG,1624283897
523,severo-kurilsk,50.6789,156.125,43.95,86,37,7.09,RU,1624283898
524,progreso,21.2833,-89.6667,82.11,76,98,14.05,MX,1624283899
525,emboscada,-25.15,-57.35,59.25,100,90,0.0,PY,1624283899
526,muros,42.7762,-9.0603,66.7,79,48,9.13,ES,1624283900
527,sangre grande,10.5835,-61.1177,86.94,72,41,9.26,TT,1624283901
528,houma,29.5958,-90.7195,82.4,87,100,6.51,US,1624283827
529,evans,33.5337,-82.1307,81.25,71,40,4.0,US,1624283902
530,balykshi,47.0667,51.8667,96.8,16,0,17.9,KZ,1624283903
531,san policarpo,12.1791,125.5072,79.74,83,100,3.18,PH,1624283904
532,sakaiminato,35.55,133.2333,69.78,83,40,3.44,JP,1624283904
533,finschhafen,-6.6024,147.8681,77.95,83,44,8.28,PG,1624283905
534,mendoza,-32.8908,-68.8272,36.93,81,0,3.44,AR,1624283648
535,malmesbury,-33.4608,18.7271,67.78,36,0,16.55,ZA,1624283906
536,baruun-urt,46.6806,113.2792,60.01,62,0,7.56,MN,1624283907
537,nemuro,43.3236,145.575,47.48,86,0,4.9,JP,1624283908
538,klyuchevskiy,53.5317,119.4519,58.69,74,67,2.64,RU,1624283908
539,batemans bay,-35.7167,150.1833,49.91,89,48,4.47,AU,1624283909
540,cay,38.5917,31.0286,74.75,75,95,2.71,TR,1624283910
541,floro,61.5996,5.0328,55.36,76,75,12.66,NO,1624283910
542,tautira,-17.7333,-149.15,73.42,77,7,2.06,PF,1624283911
543,san borja,-14.8167,-66.85,71.74,67,8,3.02,BO,1624283912
544,basco,20.4487,121.9702,84.18,84,100,24.99,PH,1624283913
545,esfarayen,37.0765,57.5101,91.06,9,0,15.75,IR,1624283913
546,goianesia,-15.3175,-49.1175,84.27,32,8,7.61,BR,1624283914
547,darnah,32.767,22.6367,79.57,60,0,17.56,LY,1624283915
548,nyurba,63.2842,118.3319,73.22,56,97,4.9,RU,1624283915
549,cambridge,43.3601,-80.3127,74.1,89,40,5.01,CA,1624283711
550,hay river,60.8156,-115.7999,60.78,51,20,6.91,CA,1624283917
551,sumenep,-7.0167,113.8667,79.36,80,95,4.76,ID,1624283917
552,margate,51.3813,1.3862,58.32,90,100,11.99,GB,1624283918
553,muravlenko,63.7898,74.523,53.2,47,100,11.05,RU,1624283919
554,tuatapere,-46.1333,167.6833,47.82,84,100,8.41,NZ,1624283920
555,druzhba,52.0428,33.9453,80.29,69,100,12.33,UA,1624283921
556,vilyuysk,63.7553,121.6247,74.23,59,98,5.12,RU,1624283922
557,ixtapa,20.7,-105.2,79.23,81,92,1.01,MX,1624283922
558,vostok,46.4856,135.8833,49.14,57,4,4.23,RU,1624283923
559,ningbo,29.8782,121.5495,73.38,83,40,6.71,CN,1624283924
560,durban,-29.8579,31.0292,75.92,69,0,3.0,ZA,1624283924
561,schonebeck,52.0167,11.75,85.14,46,52,14.16,DE,1624283925
562,martapura,-3.4167,114.85,78.89,89,90,2.3,ID,1624283926
